Player,pos,Team,FPTS,avg,,,,,,,,,,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL
,,,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,RB,DET,372.6,21.92,,,,,,,,,,274.4,"1,381.00",13.8,70.9,580.3,4.1,,,
Josh Allen,QB,BUF,372.2,21.89,,,,,,,,,,491.6,333,"3,812.70",27.4,11.2,118.1,585.5,11.8,4.1
Bijan Robinson,RB,ATL,370,21.76,,,,,,,,,,289.6,"1,427.40",9.5,79.6,736.4,3.5,,,
Puka Nacua,WR,LAR,339.8,19.99,,,,,,,,,,117,"1,539.00",9,13.6,85,1.4,1,,
Ja'Marr Chase,WR,CIN,335.6,19.74,,,,,,,,,,121.2,"1,510.40",10.6,3,17,0,1,,
Christian McCaffrey,RB,SF,327.8,19.28,,,,,,,,,,269.4,"1,093.30",8.7,74.9,657.2,4.6,,,
Drake Maye,QB,NE,326.9,19.23,,,,,,,,,,503.9,346,"4,063.40",28.3,10.4,100.3,505.2,3.7,5.6
Lamar Jackson,QB,BAL,324.8,19.11,,,,,,,,,,448.6,291.6,"3,650.30",28.3,9.6,118.4,639.9,3.2,4.2
Jayden Daniels,QB,WAS,324.5,19.09,,,,,,,,,,495.4,323.5,"3,697.10",24.1,11,130,685.3,4.7,2.8
Jaxon Smith-Njigba,WR,SEA,324.1,19.06,,,,,,,,,,110.9,"1,568.40",9.2,5.5,30.4,0.1,1.1,,
Jalen Hurts,QB,PHI,320.6,18.86,,,,,,,,,,488,316.9,"3,571.20",24.2,7.4,111.8,461.4,8.4,4
Amon-Ra St. Brown,WR,DET,319.5,18.79,,,,,,,,,,117,"1,390.50",10.5,3.1,11.8,0,0.4,,
Jonathan Taylor,RB,IND,312.5,18.38,,,,,,,,,,327.4,"1,509.80",12.9,45.1,338.2,1.5,,,
Jaxson Dart,QB,NYG,311.7,18.34,,,,,,,,,,509.9,324.8,"3,592.90",22.6,11.1,100.9,549.4,6.5,2.9
Joe Burrow,QB,CIN,310.8,18.28,,,,,,,,,,589.7,394.5,"4,170.50",33.3,11.6,48.3,179.1,1.4,1.9
Dak Prescott,QB,DAL,306.3,18.02,,,,,,,,,,582.3,384.7,"4,296.50",30.9,11.3,49.1,173.3,1.7,2.8
Brock Purdy,QB,SF,306,18.00,,,,,,,,,,542.5,366.3,"4,119.50",27.7,14.3,70.5,304.1,3.8,4.3
Trevor Lawrence,QB,JAX,304,17.88,,,,,,,,,,545.5,335.4,"3,894.30",26.6,13,72.5,321.1,4.9,3.4
Patrick Mahomes II,QB,KC,303.6,17.86,,,,,,,,,,554.7,353.3,"3,832.50",27.4,11.6,60.4,359.1,3.4,2
Justin Herbert,QB,LAC,300.3,17.66,,,,,,,,,,529.6,349.8,"3,859.10",26.2,11.7,78.4,459,2.1,2.8
Caleb Williams,QB,CHI,300,17.65,,,,,,,,,,547.8,326.2,"3,828.30",27.4,9.3,79,398,2.1,3
Bo Nix,QB,DEN,297.8,17.52,,,,,,,,,,555.2,355.3,"3,743.70",26.8,11,79.1,341.2,3.6,2
Matthew Stafford,QB,LAR,294,17.29,,,,,,,,,,546.9,352.7,"4,191.60",34,8.6,23.7,33.1,0.2,2.8
De'Von Achane,RB,MIA,292,17.18,,,,,,,,,,237.9,"1,197.50",6,65.3,490.6,4,,,
Drake London,WR,ATL,289.2,17.01,,,,,,,,,,101.7,"1,328.50",9.4,0,0,0,1,,
Jared Goff,QB,DET,287.4,16.91,,,,,,,,,,546.7,373.2,"4,299.30",31.7,10,23.7,48.2,0.2,3.7
Tyler Shough,QB,NO,286.2,16.84,,,,,,,,,,555.3,365.5,"3,978.00",22.1,11.7,78.2,329.2,4.1,3.6
Baker Mayfield,QB,TB,282.2,16.60,,,,,,,,,,540.5,348.6,"3,837.90",25.9,12.5,57.7,362.2,1.5,3.7
Kyler Murray,QB,MIN,280.3,16.49,,,,,,,,,,497.7,329.9,"3,497.70",23.5,14,79.6,475.9,3.4,3.8
Chase Brown,RB,CIN,277.7,16.34,,,,,,,,,,239.4,"1,040.50",7.5,64.4,430.2,3.9,,,
Ashton Jeanty,RB,LV,276.8,16.28,,,,,,,,,,281.4,"1,107.20",8,58.7,414.2,3.3,,,
Daniel Jones,QB,IND,274.5,16.15,,,,,,,,,,512.6,337.2,"3,759.50",23.5,11.4,66,251.1,4,3.8
CeeDee Lamb,WR,DAL,273.3,16.08,,,,,,,,,,97.6,"1,297.30",7.5,2.4,12.5,0,0.3,,
Rashee Rice,WR,KC,273.3,16.08,,,,,,,,,,98.8,"1,099.00",9.7,5.4,25.5,0.9,0.6,,
Derrick Henry,RB,BAL,273.1,16.06,,,,,,,,,,314,"1,568.70",13.4,17.8,172.2,0.7,,,
James Cook III,RB,BUF,270.2,15.89,,,,,,,,,,287.3,"1,403.50",10.3,33.3,281.7,1.9,,,
Malik Willis,QB,MIA,269.6,15.86,,,,,,,,,,493,317.8,"3,366.40",17.7,12.5,124.5,641.4,4.1,6.1
Justin Jefferson,WR,MIN,269.6,15.86,,,,,,,,,,98.6,"1,302.20",6.8,1.3,5.5,0,0.3,,
Jordan Love,QB,GB,267.6,15.74,,,,,,,,,,510.4,331,"3,841.40",26.7,10.2,46.1,194.7,0.6,3
Sam Darnold,QB,SEA,266.5,15.68,,,,,,,,,,506.2,336.7,"4,088.50",27.3,12.8,44,131.9,0.6,5.3
Saquon Barkley,RB,PHI,265.9,15.64,,,,,,,,,,295.9,"1,311.30",8.2,41.7,330.4,2.1,,,
Omarion Hampton,RB,LAC,263.6,15.51,,,,,,,,,,249.1,"1,072.90",10,51.6,352.8,2,,,
C.J. Stroud,QB,HOU,260.7,15.34,,,,,,,,,,551,347.4,"3,878.20",23.5,11.4,54.4,238.6,1,3.5
A.J. Brown,WR,NE,257.4,15.14,,,,,,,,,,88.7,"1,234.40",7.6,0,0,0,0.3,,
Chris Olave,WR,NO,257.3,15.14,,,,,,,,,,94.2,"1,169.20",7.8,0.3,0,0,0.3,,
Josh Jacobs,RB,GB,256.9,15.11,,,,,,,,,,288.8,"1,161.30",12,35.7,283.6,1.2,,,
Jeremiyah Love,RB,ARI,255.7,15.04,,,,,,,,,,238.3,"1,078.70",7.2,54.4,419.3,2.1,,,
Trey McBride,TE,ARI,254.3,14.96,,,,,,,,,,109,"1,050.60",6.8,0.2,,,,,
Breece Hall,RB,NYJ,253.5,14.91,,,,,,,,,,259.3,"1,159.70",6.5,47.4,411.3,2.2,,,
George Pickens,WR,DAL,252.3,14.84,,,,,,,,,,82.7,"1,202.10",8.4,0.3,-0.3,0,0.5,,
Kenneth Walker III,RB,KC,251.2,14.78,,,,,,,,,,255.7,"1,158.10",8.3,45.1,347.1,1.2,,,
Bryce Young,QB,CAR,248.8,14.64,,,,,,,,,,513.5,325.9,"3,365.90",22.1,12.4,58.3,257.5,3,3
Nico Collins,WR,HOU,248.5,14.62,,,,,,,,,,82.5,"1,212.50",7.2,1.4,8.3,0.4,0.8,,
Cam Skattebo,RB,NYG,244.3,14.37,,,,,,,,,,243.4,"1,015.70",8.1,45.8,364,2.5,,,
Brock Bowers,TE,LV,243.7,14.34,,,,,,,,,,96.5,"1,025.00",7.5,0.2,,,,,
Zay Flowers,WR,BAL,243.6,14.33,,,,,,,,,,81.9,"1,168.30",6.5,9.9,58.8,0.5,1.5,,
Garrett Wilson,WR,NYJ,242.1,14.24,,,,,,,,,,96.4,"1,090.20",6.4,1.1,4.3,0,1,,
Kyren Williams,RB,LAR,239.8,14.11,,,,,,,,,,240.2,"1,118.10",10.1,33.5,239.6,2.2,,,
DeVonta Smith,WR,PHI,236.7,13.92,,,,,,,,,,87.8,"1,134.80",6,0,0,0,0.3,,
Geno Smith,QB,NYJ,234.5,13.79,,,,,,,,,,520.2,340.4,"3,455.70",22.1,14.8,57.3,209.6,1,2.2
Javonte Williams,RB,DAL,234,13.76,,,,,,,,,,255.5,"1,157.40",10.4,33,192.1,1.2,,,
Jacoby Brissett,QB,ARI,232.4,13.67,,,,,,,,,,541.2,347.3,"3,590.40",19.7,10.4,48.7,215.1,1.4,4.8
Travis Etienne Jr.,RB,NO,231.9,13.64,,,,,,,,,,244.6,"1,036.30",5.4,44.9,351.2,3,,,
Malik Nabers,WR,NYG,231.3,13.61,,,,,,,,,,78.5,"1,047.20",8,2.7,7.9,0,0.4,,
Emeka Egbuka,WR,TB,227.9,13.41,,,,,,,,,,72.9,"1,097.10",7.5,1.4,7.3,0,0.3,,
Tetairoa McMillan,WR,CAR,227.7,13.39,,,,,,,,,,78.5,"1,125.10",6.4,0,0,0,0.9,,
Bucky Irving,RB,TB,223.9,13.17,,,,,,,,,,256.5,"1,020.90",6.1,39.9,336.2,2.3,,,
Aaron Rodgers,QB,PIT,223.1,13.12,,,,,,,,,,526.8,338.9,"3,480.30",21.7,9.4,26,82.5,0.6,2.7
D'Andre Swift,RB,CHI,222.7,13.10,,,,,,,,,,233.1,"1,053.10",8.1,34.8,299.9,1,,,
Davante Adams,WR,LAR,222,13.06,,,,,,,,,,68.5,926.1,10.2,0,0,0,0.2,,
Tee Higgins,WR,CIN,221.4,13.02,,,,,,,,,,70.7,964.8,9.1,0,0,0,0.2,,
Jameson Williams,WR,DET,217.3,12.78,,,,,,,,,,64.4,"1,065.00",6.6,7.3,42,0.5,0.2,,
Terry McLaurin,WR,WAS,214.2,12.60,,,,,,,,,,71.4,980.5,7.6,0.3,0.3,0,0.3,,
Quinshon Judkins,RB,CLE,213.7,12.57,,,,,,,,,,289.1,"1,104.10",8.1,31.3,218.3,0.6,,,
Ladd McConkey,WR,LAC,212.6,12.51,,,,,,,,,,76.9,977.3,6.4,0,0,0,0.3,,
Rome Odunze,WR,CHI,209.9,12.35,,,,,,,,,,63.4,980.1,8.1,0.3,1.3,0,0.3,,
Jaylen Waddle,WR,DEN,209.7,12.34,,,,,,,,,,74.6,983.7,6,1.7,12.4,0,0.3,,
Colston Loveland,TE,CHI,209.3,12.31,,,,,,,,,,78.1,916,6.7,0.2,,,,,
Bhayshul Tuten,RB,JAX,208.5,12.26,,,,,,,,,,243,992.8,8.2,29.2,221.6,2.1,,,
